,Rating,Latitude,Longitude,Name,Website,Vicinity,Address,Food Tags,Place tags,X_coord,Y_coord
2808,8.0,28.604943,77.2235209999999,The Grill Room,1,"The Taj Mahal Hotel, No.1, Mansingh Road,, Near Khan Market, India Gate, New Delhi","The Taj Mahal Hotel, No.1, Mansingh Road,, Near Khan Market, India Gate, South Block, Man Singh Road Area, New Delhi, Delhi 110011, India",0,0,26.7056869955199,26.379272518716043
2809,9.2,28.604943,77.223618,Wasabi by Morimoto,1,"The Taj Mahal Hotel, No.1, Mansingh Road,, Near Khan Market, India Gate, New Delhi","The Taj Mahal Hotel, No.1, Mansingh Road,, Near Khan Market, India Gate, South Block, Man Singh Road Area, New Delhi, Delhi 110011, India",0,0,26.712978849883104,26.38531594731577
2810,8.8,28.6050465,77.2236236,Varq,1,"The Taj Mahal Hotel, No.1, Near, Man Singh Road, Khan Market, India Gate, New Delhi","The Taj Mahal Hotel, No.1, Near, Man Singh Rd, Khan Market, India Gate, New Delhi, Delhi 110011, India",0,0,26.706044094337567,26.39451187902837
2811,9.2,28.599858,77.2245518,Subway resturant,1,"16A, Khan Market, Rabindra Nagar, New Delhi","16A, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",0,0,27.144579062783848,26.008829519202543
2812,8.8,28.60047,77.2254289999999,Omazoni,0,"48, Prithviraj Lane, Prithiviraj Market, Khan Market, Sujan Singh Park, Khan Market","48, Prithviraj Ln, Prithiviraj Market, Khan Market, Sujan Singh Park, Khan Market, Delhi 110003, India",0,0,27.167025479037637,26.11579781350184
2813,8.0,28.5997347,77.2261967,Out of the Box,0,"Shop No-5, 1st floor, Khan Market, New Delhi","Shop No-5, 1st floor, Khan Market, Khan Market, Rabindra Nagar, New Delhi, Delhi 110001, India",1,0,27.276998971745066,26.10077508391794
2814,8.8,28.599641,77.226376,Latitude 28,1,"9, Khan Market, Above The Goodearth Store, Rabindra Nagar, New Delhi","9, Khan Market, Above The Goodearth Store, Rabindra Nagar, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",1,0,27.29713771862436,26.103936787090085
2815,8.6,28.5999115,77.2265359,Public Affair,1,"67-68, Middle lane, Khan Market, New Delhi","67-68, Middle lane, Khan Market, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",1,0,27.28993245068269,26.137021960400432
2816,8.4,28.6000634,77.2267956,Harry's Bar,0,"2nd, Floor, Shop 62, Khan Market, Rabindra Nagar, Khan Market","2nd, Floor, Shop 62, Khan Market, Rabindra Nagar, Khan Market, Delhi 110003, India",0,0,27.298659228588235,26.166187074358792
2817,8.6,28.5998587,77.2267279999999,Mr. Choy,1,"15, Khan market, opposite Blue Door Cafe, New Delhi","15, Khan market, opposite Blue Door Cafe, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",0,0,27.3081264527296,26.144477345581258
2818,8.6,28.6001916,77.2269465999999,Town Hall,1,"60-61, Middle Lane, Khan Market, Rabindra Nagar, New Delhi","60-61, Middle Lane, Khan Market, Rabindra Nagar, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",1,0,27.300898902165134,26.18655372565657
2819,8.2,28.6002391,77.2270451,The Chatter House,0,"58 1st & 2nd Floor, Khan Market, New Delhi","58 1st & 2nd Floor, Khan Market, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",1,0,27.30492762029315,26.19675107696402
2820,8.2,28.5999156,77.2269125999999,Sidewok Restaurant,1,"19, First & Second Floor, Khan Market, New Delhi","19, First & Second Floor, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",1,0,27.317959683427016,26.160842692727165
2821,6.8,28.6005706,77.2272449,La vie pizzeria ristorante,1,"51A, Near Khan Chacha Restaurant, Khan Market, New Delhi","51A, Near Khan Chacha Restaurant, Khan Market, Khan Market, Rabindra Nagar, New Delhi, Delhi 100002, India",0,0,27.296386314261213,26.237536317049177
2822,9.0,28.600655,77.227288,Rule The Rolls ( Kha Chach Kebabs Pvt Ltd.),1,"Shop No 49A Ground Floor Khan Market, New Delhi","Shop No 49A Ground Floor Khan Market, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",0,0,27.29362765446894,26.24743617988445
2823,8.2,28.6006271,77.2273398,KHAN CHACHA,1,"50, Khan Market, New Delhi","50, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",0,0,27.299504723710385,26.248278665909194
2824,9.0,28.600176,77.2271915,Sherbet station,1,"shop no. 44 first floor, Khan Market, Rabindra Nagar, New Delhi","shop no. 44 first floor, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",0,0,27.32041814973584,26.20047868235866
2825,8.2,28.600624,77.2273948999999,Smokeys BBQ and Grill,1,"51, 1st Floor, Khan Market, Subramaniam Bharti Marg, New Delhi","51, 1st Floor, Khan Market, Subramaniam Bharti Marg, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",1,0,27.303867216050836,26.25144666622677
2826,8.4,28.6005421,77.2273872,Wok In The Clouds,0,"52, Khan Market, New Delhi","52, Khan Market, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",0,0,27.30910940096173,26.243966091836125
2827,8.2,28.600199,77.2273149999999,Caf̩ Coffee Day,1,"24, Khan Market, Delhi","24, Khan Market, Rabindra Nagar, Delhi, 110003, India",1,0,27.328067592384183,26.210139380301563
2828,8.0,28.604906,77.2234029999999,Emperor Lounge,1,"The Taj Mahal Hotel, No.1, Mansingh Road,, Near Khan Market, India Gate, New Delhi","The Taj Mahal Hotel, No.1, Mansingh Road,, Near Khan Market, India Gate, South Block, Man Singh Road Area, New Delhi, Delhi 110011, India",0,0,26.699446075650055,26.36875800755633
2829,8.6,28.604962,77.223511,Machan,1,"The Taj Mahal Hotel, No.1, Near, Man Singh Road, Khan Market, India Gate, New Delhi","The Taj Mahal Hotel, No.1, Near, Man Singh Rd, Khan Market, India Gate, New Delhi, Delhi 110011, India",0,0,26.7035849310748,26.380273578954345
2830,8.8,28.6180853,77.2290623999999,New Maharashtra Sadan,1,"K.G. Marg Next to Baroda House, Connaught Place, New Delhi","K.G. Marg Next to Baroda House, Connaught Place, New Delhi, Delhi 110001, India",0,0,26.18828196381803,27.847834442234767
2831,8.2,28.60784,77.22968,Chicken Inn,1,"No.13, 14, 15 Pandara Road Market, New Delhi","No.13, 14, 15 Pandara Road Market, Pandara Flats, India Gate, New Delhi, Delhi 110002, India",1,0,26.962789892736673,27.010622727063154
